机电安装工程类质量管理软科项目知识学习清单,,,,,,,,,
序号,专业类别,部位/工序,规范要求,规范名称,规范编号,条文编号,问题参照1,问题参照2,问题参照3
1 ,电气安装,支架,金属支架应进行防腐，位于室外或潮湿场所的应按设计要求做处理,《建筑电气工程施工质量验收规范》,GB50303-2015,11.2.5,电气支（吊）架锈蚀,支（吊）架未做防锈处理,
2 ,电气安装,支架,支吊架设置应符合设计或产品技术要求，支吊架安装应结实，无明显扭曲，与预埋件焊接固定时，焊缝应饱满；膨胀螺丝固定时，螺丝应选用适配、防松零件齐全、连接紧固；,《建筑电气工程施工质量验收规范》,GB50303-2015,11.2.4,支（吊）架布置不符合设计要求,支（吊）架变形,支（吊）架安装不牢、焊缝不饱满、螺栓松动
3 ,电气安装,支架,水平安装的支架间距宜为1.5m-3m，垂直安装的支架间距不应大于2m,《建筑电气工程施工质量验收规范》,GB50303-2015,11.2.3,支架水平或竖（垂）直间距不满足规范要求,,
4 ,电气安装,支架, 敷设在电气竖井内的电缆梯架或托盘，其固定支架不应安装在固定电缆的横担上，且每隔3层～5层应设置承重支架。,《建筑电气工程施工质量验收规范》,GB50303-2015,11.2.3,电气井内电缆桥（梯）架支座与电缆固定件连接,,
5 ,电气安装,支架,铝合金梯架、托盘和槽盒与钢支架固定时，应有相互间绝缘的防电化腐蚀措施。,《建筑电气工程施工质量验收规范》,GB50303-2015,11.2.2,铝合金桥架托盘和槽盒与钢支架固定连接位置未做绝缘（措施）处理,,
6 ,电气安装,支架,梯架、托盘和槽盒与支架间及与连接板的固定螺栓应紧固无遗漏，螺母应位于梯架、托盘和槽盒外侧；当,《建筑电气工程施工质量验收规范》,GB50303-2015,11.2.2,电气桥架连接部位连接螺栓的螺母位于桥架内侧,,
7 ,电气安装,支架,梯架、托盘和槽盒与支架间及与连接板的固定螺栓应紧固无遗漏，螺母应位于梯架、托盘和槽盒外侧；,《建筑电气工程施工质量验收规范》,GB50303-2015,11.2.2,电气梯架、桥架、槽盒、托盘、与支架连接板等固定螺栓遗漏,,
8 ,电气安装,支架,采用金属吊架固定时，圆钢直径不得小于8mm，并应有防晃支架，在分支处或端部0.3m-0.5m处应有固定支架,《建筑电气工程施工质量验收规范》,GB50303-2015,11.2.3,电气支吊架吊杆直径不满足规范要求,电气支架未见防晃支架,桥架端部固定支架位置不满足要求
9 ,电气安装,梯架、托盘、槽盒安装,梯架、托盘、槽盒全长不大于30m时，不少于2处与保护导体可靠连接，全长大于30m时，每隔20-30m应增加一个连接点。起始端和终点端均应可靠接地,《建筑电气工程施工质量验收规范》,GB50303-2015,11.2.1,桥架接地连接不满足规范要求,,
10 ,电气安装,梯架、托盘、槽盒安装,镀锌梯架、托盘、槽盒本体之间不跨接保护联结导体时，连接板每段不应少于2个防松螺帽或防松垫圈的连接固定螺栓。,《建筑电气工程施工质量验收规范》,GB50303-2015,11.1.1,桥架连接板连接螺栓不满足规范要求,,
11 ,电气安装,梯架、托盘、槽盒安装,非镀锌梯架、托盘、槽盒本体之间连接板的两端应跨接保护连接导体，保护连接导体的截面积应符合设计要求,《建筑电气工程施工质量验收规范》,GB50303-2015,11.1.1,桥架连接板连跨接保护导体截面积不满足规范要求,,
12 ,电气安装,梯架、托盘、槽盒安装,"敷设在电气竖井内穿楼板处和穿越不同防火区的梯架、托盘和槽盒,应有防火隔堵措施",《建筑电气工程施工质量验收规范》,GB50303-2015,11.2.3,竖井内电气桥架上下楼层间未见防火封堵,不同防火分区内桥架洞口未见防护封堵,
